property_type,period_year,pending_sales,new_listings,inventory,median_sale_price,median_list_price,homes_sold,months_of_supply
All Residential,2012,69673,112370,682443,199683,222758,5847,10
All Residential,2013,83133,123603,652171,209000,225375,6718,8
All Residential,2014,85654,131067,695051,207033,227733,6996,9
All Residential,2015,92264,139137,694851,210800,227542,7779,8
All Residential,2016,147135,173625,831426,305025,340575,11631,6
All Residential,2017,172002,201797,798644,382917,434033,13085,5
All Residential,2018,163560,205441,771749,394050,457775,12771,5
All Residential,2019,165972,207008,785326,399392,468525,12713,5
All Residential,2020,188683,196337,690198,396267,472250,12249,5
All Residential,2021,197387,200189,501766,483325,500675,15185,3
All Residential,2022,163452,179696,455609,516608,524083,13414,3
All Residential,2023,142591,157649,407189,509033,563692,10646,3
All Residential,2024,144855,163644,402769,539767,605200,10541,3
All Residential,2025,83808,103309,240771,581529,637629,9796,4
Condo/Co-op,2012,4029,7276,44562,212267,317175,333,12
Condo/Co-op,2013,5512,7576,41080,212383,326383,421,9
Condo/Co-op,2014,5635,8137,41373,211675,329400,434,8
Condo/Co-op,2015,5708,8042,38543,216567,335050,469,7
Condo/Co-op,2016,23168,26306,158656,460842,650883,1838,7
Condo/Co-op,2017,33012,39922,193443,639650,874092,2489,7
Condo/Co-op,2018,30381,40588,195451,640217,875917,2305,7
Condo/Co-op,2019,29481,41467,199817,616833,876692,2218,8
Condo/Co-op,2020,31302,40197,214378,569400,826750,1746,11
Condo/Co-op,2021,35398,38541,139003,587075,835542,2520,5
Condo/Co-op,2022,24880,33978,125063,525317,868133,1993,5
Condo/Co-op,2023,21042,25919,94163,512533,822850,1577,5
Condo/Co-op,2024,19147,21575,68936,468808,760733,1402,4
Condo/Co-op,2025,9583,11777,36213,421871,754971,1197,4
Multi-Family (2-4 Unit),2012,3333,6019,39811,107200,182992,283,12
Multi-Family (2-4 Unit),2013,4019,6871,37697,114308,184025,339,9
Multi-Family (2-4 Unit),2014,4230,7215,39180,120392,187808,355,9
Multi-Family (2-4 Unit),2015,4819,7832,38862,121608,183608,394,8
Multi-Family (2-4 Unit),2016,10140,13111,60151,368067,350975,765,7
Multi-Family (2-4 Unit),2017,12586,17392,67589,499250,457208,969,6
Multi-Family (2-4 Unit),2018,12416,18601,69329,526200,496858,1002,6
Multi-Family (2-4 Unit),2019,12585,18227,69944,531358,508842,988,6
Multi-Family (2-4 Unit),2020,17221,17094,65124,508200,498275,851,7
Multi-Family (2-4 Unit),2021,17267,20244,61185,576892,500408,1249,4
Multi-Family (2-4 Unit),2022,15039,18721,57640,616758,517433,1186,4
Multi-Family (2-4 Unit),2023,13198,16336,51255,601842,556383,922,5
Multi-Family (2-4 Unit),2024,13356,16734,51372,605267,594600,915,5
Multi-Family (2-4 Unit),2025,7335,9773,28145,705214,630000,847,5
Single Family Residential,2012,60177,95686,576222,204742,219867,5053,10
Single Family Residential,2013,71281,105593,554327,215083,222667,5762,8
Single Family Residential,2014,73490,112148,594879,211592,224600,6015,9
Single Family Residential,2015,79112,119366,598338,215375,224675,6695,8
Single Family Residential,2016,109642,129126,590301,260317,263633,8696,6
Single Family Residential,2017,121937,139119,518733,301142,304333,9288,5
Single Family Residential,2018,116547,140843,488776,316708,329567,9131,5
Single Family Residential,2019,119773,142119,496426,329858,342367,9193,5
Single Family Residential,2020,135838,134004,394515,349758,367050,9347,4
Single Family Residential,2021,139750,135863,289179,439267,403483,11022,2
Single Family Residential,2022,119394,122062,260973,493842,427175,9890,2
Single Family Residential,2023,104206,110641,249663,486892,501850,7854,3
Single Family Residential,2024,107375,119643,268669,526900,576175,7866,3
Single Family Residential,2025,64230,78299,168014,581800,622071,7424,3
Townhouse,2012,1751,2330,13880,159633,181542,146,8
Townhouse,2013,1900,2547,12018,162400,182875,161,7
Townhouse,2014,1872,2438,12127,162650,184925,157,7
Townhouse,2015,2104,2691,11164,168942,191108,179,6
Townhouse,2016,3749,4044,15655,338008,318425,298,5
Townhouse,2017,4085,4558,13980,480942,423033,312,4
Townhouse,2018,3839,4751,14269,554567,446633,306,4
Townhouse,2019,3714,4487,15173,514108,450675,285,5
Townhouse,2020,3843,4281,12734,487967,458550,273,4
Townhouse,2021,4806,4899,9930,614950,506083,366,2
Townhouse,2022,3830,4425,10252,681983,551325,321,3
Townhouse,2023,3592,4125,10370,754500,610683,265,3
Townhouse,2024,4356,4891,11276,1028400,694242,325,3
Townhouse,2025,2219,2822,6439,924100,701543,284,3
