type,broker,price,beds,baths,sqft,address,state,address_full,lat,lon,sub_locality
Condo,Douglas Elliman  -111 Fifth Ave,315000,2,2,1400,2 E 55th St Unit 803,"New York, NY 10022","2 E 55th St Unit 803New York, NY 10022",40.761255,-73.9744834,New York County
House,Sowae Corp,260000,4,2,2015,620 Sinclair Ave,"Staten Island, NY 10312","620 Sinclair AveStaten Island, NY 10312",40.5418051,-74.1961086,Richmond County
Condo,COMPASS,69000,3,1,445,2 E 55th St Unit 908W33,"Manhattan, NY 10022","2 E 55th St Unit 908W33Manhattan, NY 10022",40.7613979,-73.9746128,New York County
Condo,Douglas Elliman - 575 Madison Ave,899500,2,2,2184,157 W 126th St Unit 1B,"New York, NY 10027","157 W 126th St Unit 1BNew York, NY 10027",40.809448,-73.946777,New York County
Co-op,Pantiga Group Inc.,265000,1,1,750,875 Morrison Ave Apt 3M,"Bronx, NY 10473","875 Morrison Ave Apt 3MBronx, NY 10473",40.8215857,-73.8740892,Bronx County
Co-op,CENTURY 21 MK Realty,440000,2,1,978,1350 Ocean Pkwy Apt 5G,"Brooklyn, NY 11230","1350 Ocean Pkwy Apt 5GBrooklyn, NY 11230",40.6157378,-73.9696944,Kings County
Co-op,Engel & Volkers Americas,375000,2,1,850,800 Grand Concourse Apt 2JS,"Bronx, NY 10451","800 Grand Concourse Apt 2JSBronx, NY 10451",40.8248699,-73.9229829,Bronx County
Townhouse,Re/Max Edge,689000,3,2,1162,456 Van Name Ave,"Staten Island, NY 10303","456 Van Name AveStaten Island, NY 10303",40.6249962,-74.1553058,Richmond County
Co-op,COMPASS,259000,3,1,2184,34-41 85th St Unit 1D,"Jackson Heights, NY 11372","34-41 85th St Unit 1DJackson Heights, NY 11372",40.7531191,-73.8818757,Queens County
Co-op,Jamie & Connie Real Estate Grp,430000,2,2,2184,91-15 Lamont Ave Unit 6D,"Elmhurst, NY 11373","91-15 Lamont Ave Unit 6DElmhurst, NY 11373",40.7438639,-73.8745722,Queens County
Co-op,Corcoran Chelsea/Flatiron,895000,3,1,2184,61 Jane St Apt 6N,"New York, NY 10014","61 Jane St Apt 6NNew York, NY 10014",40.7382981,-74.0058899,New York County
Condo,Awaye Realty,549000,2,2,1000,4654 Amboy Rd Unit 2B,"Staten Island, NY 10312","4654 Amboy Rd Unit 2BStaten Island, NY 10312",40.5406209,-74.1671632,Richmond County
Townhouse,Realty Executives Today,975000,3,2,1734,28-31 Hobart St,"Woodside, NY 11377","28-31 Hobart StWoodside, NY 11377",40.7607676,-73.9056672,Queens County
Co-op,Dorsa Group Realty,199000,3,1,325,9430 Ridge Blvd Apt 6D,"Brooklyn, NY 11209","9430 Ridge Blvd Apt 6DBrooklyn, NY 11209",40.6181029,-74.0369047,Kings County
Co-op,Coldwell Banker Realty,350000,1,1,700,5800 Arlington Ave Apt 21A,"Bronx, NY 10471","5800 Arlington Ave Apt 21ABronx, NY 10471",40.9073699,-73.9065578,Bronx County
Condo,Keller Williams Rlty Landmark,599000,2,2,974,92-29 Queens Blvd Unit 3H,"Rego Park, NY 11374","92-29 Queens Blvd Unit 3HRego Park, NY 11374",40.7324713,-73.8670804,Queens County
House,Radiant Estates LLC,639999,3,2,1260,27 Clove Way,"Staten Island, NY 10301","27 Clove WayStaten Island, NY 10301",40.6207403,-74.1114362,Richmond County
Condo,"Apaus, Inc",1300000,2,2,1244,10724 71st Rd Apt 9F,"Forest Hills, NY 11375","10724 71st Rd Apt 9FForest Hills, NY 11375",40.7202429,-73.8430513,Queens County
Multi-family home,Keller Williams Ny Realty,1100000,6,3,2837,1038 Throggs Neck Expy Unit Sr,"Bronx, NY 10465","1038 Throggs Neck Expy Unit SrBronx, NY 10465",40.8343936,-73.8221101,Bronx County
Condo,Martino Realty Group,349900,1,1,651,165 Cromwell Ave Apt 2B,"Staten Island, NY 10304","165 Cromwell Ave Apt 2BStaten Island, NY 10304",40.5902064,-74.0958034,Richmond County
House,Elizabeth Marra,750000,2,2,1330,280 Loretto St,"Staten Island, NY 10307","280 Loretto StStaten Island, NY 10307",40.5039785,-74.2396555,Richmond County
Multi-family home,CENTURY 21 Milestone Realty,1690000,6,4,2200,149-07 85 Rd,"Briarwood, NY 11435","149-07 85 RdBriarwood, NY 11435",40.710749,-73.809486,Queens County
Co-op,"Nest Seekers International, Long Island",325000,1,1,2184,35-45 81st St Unit E1,"Queens, NY 11372","35-45 81st St Unit E1Queens, NY 11372",40.7505078,-73.8851355,Queens County
Co-op,Du Chris Realty,230000,1,1,2184,33-24 Junction Blvd Unit 6R,"Jackson Heights, NY 11372","33-24 Junction Blvd Unit 6RJackson Heights, NY 11372",40.7557689,-73.8734231,Queens County
Multi-family home,NoBroker,925000,5,2,2750,543 Hollywood Ave,"Bronx, NY 10465","543 Hollywood AveBronx, NY 10465",40.8242389,-73.8173809,Bronx County
Condo,Get Listed Get Sold NYC,329000,1,2,794,47 Lynn Ct,"Staten Island, NY 10314","47 Lynn CtStaten Island, NY 10314",40.6210398,-74.1504313,Richmond County
Multi-family home,RE MAX Edge,848000,5,4,2080,544 Hinsdale St,"Brooklyn, NY 11207","544 Hinsdale StBrooklyn, NY 11207",40.6615475,-73.898309,Kings County
Co-op,H P Greenfield Real Estate Ltd,279000,1,1,750,1801 Ocean Ave Apt 4A,"Brooklyn, NY 11230","1801 Ocean Ave Apt 4ABrooklyn, NY 11230",40.6179165,-73.9546305,Kings County
